單字,中文,例句,中例,同義,反義
epidemic,n.流行病；迅速的傳播、生長或發展；風尚等的流行； adj.流行性的；極為盛行的； ,"Leaves: prevents epidemic influenza, epidemic meningitis, influenza, enteritis, eczema of the scrotum.",葉：預防流行性感冒，流行性腦脊髓膜炎，感冒，腸炎；外用治陰囊濕疹。,eruption;irruption;pandemic;,good;antiseptic;inactivity;
episode,n.插曲，片斷；插話；一集； ,Did you notice any difference in George as a director from Episode I to Episode II?,從EP1到EP2，你有沒有注意到喬治作為導演有沒有什麼不同？,idyll;natural event;chapter;,tragedy;comedy;unemotionality;
equation,n.方程式；等式；相等；[化學] 反應式； ,"The governing equation as follows: mass conservation equation, momentum conservation equation and supplementary of turbulent model.",變矩器內部流場的流動情況決定了它的控制方程包括連續性方程、湍流的動量守恆方程和湍流模型附加方程。,simultaneous equations;biquadratic;regression of y on x;,unstrap;unlash;unfasten;
equivalent,adj.相等的，相當的，等效的；等價的，等積的；[化學]當量的； n.對等物；[化學]當量； ,He changed his pounds for the equivalent an equivalent amount of dollars.,他把他的英鎊換成等值的美元。,cognition;counterpart;substitute;,different;disagree;differ;
eruption,n.噴發，爆發； ,"To investigate pediatric drug eruption, 58 cases drug eruption were analyzed.","為探討兒童葯疹的發病情況、特點及治療, 本文對58例兒童葯疹患兒進行分析.",discharge;Plinian eruption;volcanic eruption;,ending;disappearance;beginning;
essence,n.本質，實質；精華，精髓；香精； ,"Essence of grapefruit, plant essence of witch hazel, essence of peppermint, essence of edelweiss, etc.",葡萄柚精華、金縷梅植物精華、薄荷精華、雪絨花精華等。,centre;stuff;quintessence;,empty;belief;unbelief;
eternity,n.永恆；[宗]來世，永生，永劫；萬年；不朽； ,"Illidan Stormrage: It has an eternity, brother. An eternity spent in darkness!",伊利丹？怒風：真是一段漫長的時光，兄長。一段在黑暗中的漫長時光！,alpha and omega;time;infinity;,host;eukaryote;prokaryote;
ethnic,adj.種族的，部落的；某文化群體的； n.少數民族的成員； ,"Ethnic eco-ethics attaches great importance to a balanced development of natural environment, socio-economy and ethnic cultures.",民族生態倫理學強調自然環境、社會經濟與民族文化的整體和諧發展。,cultural;social;ethnical;,unsocial;religious person;creditor;
evolution,n.演變；進化；發展； ,Then it would be autonomous evolution instead of directed evolution.,之後，取代定向進化的就將是自發的進化。,unfolding;physical process;flowering;,devolution;katamorphism;anovulation;
excerpt,n.摘錄；引用；摘要；節錄； vt.摘錄；摘要；引用；節要； vi.摘錄；引用； ,Excerpt from a talk with President EI Hadj Omar Bongo of the Gabon Republic.,這是鄧小平同志會見加彭總統邦戈時談話的一部分。,cutting;extract;track;,dull;hot;kind;
execution,n.實行，履行，執行，貫徹；作成，完成，簽名蓋印使法律文件生效，執行法律；執行死刑，強制執行，執行命令；,The Civil forcible execution power includes the execution judgment power and execution enforcement power.,民事強制執行權包括執行裁判權和執行實施權.,burning at the stake;death penalty;electrocution;,sink;source;activation;
exotic,adj.異國的；外來的；異乎尋常的，奇異的；吸引人的； n.舶來品，外來物；脫衣舞女； ,"Exotic Woods, Exotic Flooring, Softwood Elliotis Pine, Exotic Plywood, Decking, Timber, Timber Products and Plank.",採購產品異國的森林，異國的地板，軟木材松樹，異國的夾板，裝飾木材，木材產品和厚木板。,alien;strange;foreign;,native;intrinsic;nativeness;
expedition,n.考察，遠航；考察隊，遠征軍；（短途的）旅行；迅速（辦理）； ,To plan a mountain climbing expedition.,計劃登山探險。,campaign;military campaign;hostile expedition;,ride;stand still;make peace;
expertise,n.專門知識或技能；專家的意見；專家評價，鑒定； ,"Under such itstances, It's easy to mistake medical expertise for medical expertise.",在這種大趨勢下，一個極易形成的誤區就是把醫學鑒定與法醫學鑒定混淆起來。,expertness;professionalism;sophistication;,unskillfulness;unenlightenment;naivete;
expiration,n.滿期；截止；呼氣；（氣的）呼出； ,"Option exercise: six months prior to lease expiration, July 31, 2010.",行使選擇權：在2010年7月31日租賃到期日6個月之前。,termination;expiry;end;,middle;beginning;untwine;
exploit,vt.開採；開拓；利用（…為自己謀利）；剝削； n.功績；功勞；勛績； ,One area the Conservatives will seek to exploit is government spending.,保守黨可以利用的一塊就是政府開支。,feed;use;work;,abstain;functional;uselessness;
exploration,n.探測，勘探，探險；搜索，研究；[醫]探查術； ,Class C: solid mineral exploration; geophysical exploration; establish mineral exploration infrastructure (pitting).,2630213丙級：固體礦產勘查；地球物理勘查；勘查工程施工（坑探）。,geographic expedition;expedition;,inactivity;unkindness;tactlessness;
extract,vt.提取；（費力地）拔出；選取；獲得； n.汁；摘錄；提煉物；濃縮物； ,"Ingredient: Elastic Collagen Protein, Seaweed Extract, Chamomile Extract, Aloe Extract, Pure Green Tea Extract.",主要成份：彈力膠原蛋白、海藻精華、甘菊精華、蘆薈精華液、綠茶提純精華。,pull;squeeze out;draw;,stand still;repel;adduct;
eyesight,n.視覺，視力；見解，觀察；眼力； ,Recovery with disabled eyesight is mainly aimed at acquired eyesight deformity obstacle.,視力殘疾的恢復主要是針對後天發生的視力殘疾障礙.,vision;visual sense;visual modality;,uncreativeness;blind;
faction,n.派系；派系鬥爭；內訌；紀實與虛構相結合的電影； ,Same faction players in stealth are seeable by any other player of that faction.,潛行玩家對同陣營的其它玩家可見。,inner circle;coterie;ingroup;,wrong;incorrectness;improper;
faculty,n.能力，才能；全體教職員；<英>（大學的）專科，系；特權，特許； ,He has the faculty of [a faculty for] doing two things at once.,他有同時做兩件事的能力。,retention;attention;retentivity;,inability;permeability;inattention;
familiarity,n.熟悉；通曉；認識；友好隨便； ,"Results Both cue - familiarity and accessibility enhanced FOK judgment, but their effects were independent.","結果線索熟悉性與信息易接近性對初中生的FOK判斷等級都有影響, 但二者之間不存在交互作用.",conversance;conversancy;acquaintance;,uncongeniality;unneighborliness;friendly;
famine,n.飢荒；飢餓；極度缺乏； ,"Then, when droughts or outbreaks of diseases and insect pests ravaged crops, famine resulted.",一旦乾旱或病蟲害暴發，飢荒就隨之出現。,disaster;calamity;tragedy;,comedy;presence;include;
fascination,n.魅力；迷戀； ,"Excited Remarks Our son, at age of five, had a fascination for motorcycles.",激動的話我五歲的兒子對摩托車有強烈的愛好。,spell;enchantment;trance;,unattractiveness;unattractive;attractive;
federation,n.聯邦，同盟；聯盟，聯合會；聯邦，聯邦政府； ,The HKHA became affiliated to the Asian Hockey Federation and the International Hockey Federation in 1950.,"1950年,香港曲棍球總會正式成為亞洲曲棍球協會和國際曲棍球協會的成員.",formation;organization;establishment;,nonalignment;finish;inactivity;
feedback,n.反饋；反應；反饋噪音； ,"Fourth, information feedback it includes audience feedback, the feedback effect, the implementation of feedback. etc.",信息反饋包括：受眾反饋、實施效果反饋、執行反饋等。,activity;regeneration;natural action;,sink;source;activation;
fertility,n.（土地的）肥沃；肥力；豐產；<生>繁殖力； ,"After having occupied previously the high fertility soils, sugarcane is now moving toward low fertility soils.",以前甘蔗佔用高肥力土壤，現已轉向低肥力土壤。,fertility rate;birth rate;rate;,hypocapnia;hypopigmentation;hypercapnia;
fidelity,n.忠誠，忠實；逼真；保真度；盡責； ,Fidelity in love for fidelity's sake had less attraction for her than for most women.,"她和大多數的女人不同,她只覺得,男女愛悅,為忠心而忠心,沒有什麼意味.",truth;accuracy;,inaccuracy;competition;mobility;
flare,vi.閃耀，閃光；燃燒；突然發怒；向外張開； vt.使閃耀；使張開；用光發出信號；使外傾； n.閃光；爆發；反射；太陽耀斑； ,"Do not flare up, flare up would harm the stomach!",不要動怒，動怒會對胃有傷害！,combust;burn;burn up;,dry fly;unalert;stand still;
fleet,n.艦隊；船隊；車隊；港灣，小河； adj.快速的，敏捷的；轉瞬即逝的； vi.疾馳；飛逝； ,"Baltic Fleet, Black Sea Fleet, Pacific Fleet, Northern Fleet and the Russian Federation Navy's four fleets.",波羅的海艦隊 、 黑海艦隊 、 太平洋艦隊及北方艦隊是俄羅斯聯邦海軍的四大艦隊.,swift;fast;,slow;walk;fauna;
flicker,v.閃爍；飄揚，擺動；昏倒； n.閃爍；閃光；電影；假裝昏倒的乞丐； ,"Flicker, flicker the lace flare of her hat in the sun: flicker, flick.",閃爍，閃爍，她帽子上那絲質飄帶在陽光下閃爍著，飄蕩著。,flutter;quiver;move back and forth;,rise;fall;descend;
fling,vt.（尤指生氣地）猛扔；急派；放肆地投入；扔在一邊，拋棄； vt.& vi.猛撲；猛衝；急伸； n.投擲；〈美俚〉嘗試；恣意，一時的放縱； ,Thou canst prevail against my fears and fling.,你能消除我的惶恐，把你的。,toss;sky;flip;,string;pack;charge;
fluid,n.液體，流體； adj.流體的，流動的，流體的，液體的；易變的，不固定的；（動作、設計、音樂等）流暢優美的； ,Hydraulic calculation of-bearing oil flowing in pipe is discussed fluid is Newtonian fluid or non-Newtonian fluid.,討論了含水原油為牛頓流體和非牛頓流體情況下管流的水力計算。,liquid;ichor;filtrate;,rough;coarse;uglify;
flutter,vi.飄動；鼓翼； vt.& vi.振翼，拍翅膀；煩擾，坐立不安；（旗幟）飄揚； n.緊張，激動不安；顫振；飄揚；（身體部分的）病態陣跳； ,Carotid sinus pressure has little or no effect on the atrial rate in atrial flutter.,壓迫頸動脈竇對心房撲動時的心房率幾乎不起作用.,motility;flicker;movement;,fall;basic;organic disorder;
fracture,vt.& vi.（使）折斷，破碎； n.破裂，斷裂；骨折； ,"The fracture in studied area can he divided into diagenetic micro-facture, weathering fracture and structural fracture.",研究區的裂縫可以劃分為岩微裂隙、風化裂隙和構造裂縫3種類型。,abuse;misuse;pervert;,perfection;absolve;merit;
